epoch,step,train_loss,val_loss
0,227,,0.4051339626312256
0,227,0.6059706807136536,
1,455,,0.7891615629196167
1,455,0.47522398829460144,
2,683,,0.4708407521247864
2,683,0.41065970063209534,
3,911,,0.45199257135391235
3,911,0.3780324161052704,
4,1139,,0.37942740321159363
4,1139,0.3365604877471924,
5,1367,,0.33499807119369507
5,1367,0.29553693532943726,
6,1595,,0.41791832447052
6,1595,0.27853822708129883,
7,1823,,0.414427787065506
7,1823,0.2585383653640747,
8,2051,,0.31404635310173035
8,2051,0.26368606090545654,
9,2279,,0.5821965932846069
9,2279,0.24420787394046783,
10,2507,,0.5912057161331177
10,2507,0.23388688266277313,
11,2735,,0.4964970648288727
11,2735,0.21319685876369476,
12,2963,,0.6980287432670593
12,2963,0.19584707915782928,
13,3191,,0.5460445880889893
13,3191,0.1769108921289444,
14,3419,,0.6065597534179688
14,3419,0.15847554802894592,
15,3647,,0.5643293261528015
15,3647,0.16021282970905304,
