epoch,step,train_loss,val_loss
0,248,,0.21016594767570496
0,248,0.2661575973033905,
1,497,,0.17246101796627045
1,497,0.18720854818820953,
2,746,,0.16342854499816895
2,746,0.1734238713979721,
3,995,,0.16030125319957733
3,995,0.16521011292934418,
4,1244,,0.16790173947811127
4,1244,0.15732742846012115,
5,1493,,0.178602397441864
5,1493,0.15199409425258636,
6,1742,,0.15663357079029083
6,1742,0.14530980587005615,
7,1991,,0.1844627410173416
7,1991,0.13773518800735474,
8,2240,,0.17604279518127441
8,2240,0.13091431558132172,
9,2489,,0.18243566155433655
9,2489,0.1224338710308075,
10,2738,,0.19865083694458008
10,2738,0.11613408476114273,
11,2987,,0.1830209344625473
11,2987,0.09926941245794296,
12,3236,,0.20474497973918915
12,3236,0.09364547580480576,
13,3485,,0.21957628428936005
13,3485,0.0898916944861412,
