site_id,season,horizon_bin,n,rmse,mae,persistence_rmse,persistence_mae,rmse_skill_vs_persistence,mae_skill_vs_persistence
3,fall,0-6,2136,4.800867309549855,2.4163261620739425,4.743648933526469,2.264725863710325,-0.012062101733327335,-0.06693980087958606
3,fall,6-12,2136,5.852248651592504,3.355426345425152,5.793572963213716,3.207561782236849,-0.010127720622722602,-0.046098742043617635
3,fall,12-18,2136,6.279102476722047,3.8732416138666848,6.135974150578843,3.4500317555688294,-0.023326096660577056,-0.12266839504150528
3,fall,18-24,2136,6.53977082353538,3.846015769444155,6.4486602732088745,3.484649704636706,-0.0141286013631432,-0.10370226434140917
3,spring,0-6,13095,17.752854356442175,9.671914630320382,19.12964669009294,9.969752859586794,0.07197165509406889,0.029874183789823316
3,spring,6-12,13065,23.56077204254815,15.300002031001467,27.027475310729415,17.293296117888435,0.1282658934408515,0.11526397705207136
3,spring,12-18,13035,28.00481213264846,19.189070725230636,30.450762741726013,20.544506609426133,0.08032477313699338,0.06597558704931872
3,spring,18-24,13005,32.13778084741594,22.09647119236836,31.80044965882895,21.378667672585177,-0.010607749016320334,-0.03357569006527261
3,summer,0-6,5457,14.276287671972756,6.03714020155672,14.105985318324674,5.707529931665231,-0.01207305621017829,-0.057750072945359276
3,summer,6-12,5487,17.14981147662385,9.704697796832196,16.478418196087752,9.217821015889296,-0.040743794249347154,-0.05281907514841544
3,summer,12-18,5517,21.08923219853582,13.387910160785873,18.800345096129245,11.817804550549809,-0.12174707914685201,-0.13285933131827066
3,summer,18-24,5547,24.666913324523495,16.235161269143056,20.75354150369825,13.727613534028194,-0.18856404918302183,-0.18266450529796163
3,winter,0-6,1494,8.0623587079563,4.373119803636747,8.002574727319072,4.263806099234176,-0.007470593237091316,-0.025637588074702844
3,winter,6-12,1494,9.341461638974351,5.866130369255342,9.27506101777563,5.752554218133929,-0.007159049527702743,-0.019743603765329798
3,winter,12-18,1494,10.190816511356408,6.277157897132148,10.042267584842904,6.109488470646911,-0.01479236888068125,-0.027444102282998983
3,winter,18-24,1494,9.016686604521302,5.2121302439984545,8.8824159359411,4.996035554163267,-0.015116458129020849,-0.043253232986925516
4,fall,0-6,1932,5.7884946507005095,2.9329754970582127,5.741502827310823,2.889657781731268,-0.0081845859530294,-0.014990603939609715
4,fall,6-12,1926,9.601976158488467,5.604017686992419,9.323187649224007,5.397835497791769,-0.029902702782954815,-0.038197197614673106
4,fall,12-18,1920,11.511950973044403,6.809341284135978,11.4588513605219,6.843643167614937,-0.004633938503246782,0.00501222559955794
4,fall,18-24,1914,13.1775035419219,8.050935397950335,13.351382660556604,7.828189387465969,0.013023304256598589,-0.028454346140502684
4,spring,0-6,13095,12.724855020589867,7.783816917509739,14.7015734969233,9.2058265712253,0.13445625236966063,0.1544684382997551
4,spring,6-12,13065,21.86641224022933,14.808470431188034,25.82179818075882,18.257281286252034,0.15318011212235616,0.18890057073618072
4,spring,12-18,13035,27.730381471153617,19.344068158921218,30.68614085708335,22.059212203294692,0.09632229089007283,0.12308436127959044
4,spring,18-24,13005,31.798159294932372,22.96604257456755,32.4887548396163,23.153263555201875,0.021256448518667925,0.008086159438731144
4,summer,0-6,4887,8.491279495784562,4.3289790051052215,9.139889516222798,4.8911492656241755,0.07096475502105237,0.11493623072801762
4,summer,6-12,4923,10.672268064498878,6.898744615190232,12.865297977955764,8.609291737238953,0.17046087212395433,0.1986861607500019
4,summer,12-18,4959,12.447303105898369,8.737303840751055,15.590032074247343,11.36599184010485,0.20158579234357987,0.23127660448237186
4,summer,18-24,4995,13.424689983539311,9.562131613940448,17.64309688504417,13.133175214227135,0.23909673732397563,0.27191014678751757
4,winter,0-6,1974,7.863501577689918,4.7762672942218565,8.038139234254153,4.9759776725112,0.021726129826169727,0.040134902411761986
4,winter,6-12,1974,14.126410205240594,8.861602790933008,14.439647871035165,9.365717137113531,0.021692888122493703,0.05382549342461662
4,winter,12-18,1974,16.88621292505203,10.927903427541438,17.405614116372895,11.260423770429153,0.029841014964952173,0.029530002570679614
4,winter,18-24,1974,19.05231561635546,11.634371207719395,19.433166284004454,11.230578893103015,0.01959797297481436,-0.03595471956163898
