epoch,step,train_loss,val_loss
0,60,,0.11479215323925018
0,60,0.24684473872184753,
1,121,,0.0916723981499672
1,121,0.13146992027759552,
2,182,,0.0832090750336647
2,182,0.11554300785064697,
3,243,,0.08084847033023834
3,243,0.10517116636037827,
4,304,,0.07761665433645248
4,304,0.09882087260484695,
5,365,,0.07824324816465378
5,365,0.09318836778402328,
6,426,,0.07668086141347885
6,426,0.08735563606023788,
7,487,,0.08297870308160782
7,487,0.0800146758556366,
8,548,,0.08414873480796814
8,548,0.07821381837129593,
9,609,,0.09028933942317963
9,609,0.07277670502662659,
10,670,,0.0993269681930542
10,670,0.06947168707847595,
11,731,,0.10459430515766144
11,731,0.06132469326257706,
12,792,,0.12090690433979034
12,792,0.05743672326207161,
13,853,,0.1107490137219429
13,853,0.054887913167476654,
