epoch,step,train_loss,val_loss
0,142,,2.6333234310150146
0,142,0.4170583188533783,
1,285,,2.709928035736084
1,285,0.3238525688648224,
2,428,,2.4884116649627686
2,428,0.3004831373691559,
3,571,,2.600647449493408
3,571,0.2802600562572479,
4,714,,2.795076847076416
4,714,0.2631032466888428,
5,857,,2.7343337535858154
5,857,0.24678674340248108,
6,1000,,3.1095070838928223
6,1000,0.238520547747612,
7,1143,,2.8352131843566895
7,1143,0.21113497018814087,
8,1286,,3.3497960567474365
8,1286,0.19773100316524506,
9,1429,,2.9985687732696533
9,1429,0.1940927654504776,
