epoch,step,train_loss,val_loss
0,23,,5.924516677856445
0,23,0.7037153244018555,
1,47,,5.742444038391113
1,47,0.553420901298523,
2,71,,5.355689525604248
2,71,0.5317552089691162,
3,95,,4.950257778167725
3,95,0.5102672576904297,
4,119,,4.997340202331543
4,119,0.5000920295715332,
5,143,,4.666545391082764
5,143,0.4869261085987091,
6,167,,4.832777500152588
6,167,0.48054444789886475,
7,191,,4.705216407775879
7,191,0.4795123040676117,
8,215,,4.514708042144775
8,215,0.4608985483646393,
9,239,,4.52818489074707
9,239,0.45647644996643066,
10,263,,4.491708755493164
10,263,0.45054569840431213,
11,287,,4.265877723693848
11,287,0.4431358575820923,
12,311,,4.52815055847168
12,311,0.4269391596317291,
13,335,,4.285082817077637
13,335,0.41640108823776245,
14,359,,4.077946186065674
14,359,0.40780097246170044,
15,383,,4.196732521057129
15,383,0.3922467529773712,
16,407,,4.139422416687012
16,407,0.40328842401504517,
17,431,,4.108015537261963
17,431,0.3820789158344269,
18,455,,4.325145244598389
18,455,0.3615826964378357,
19,479,,4.459730625152588
19,479,0.3405565917491913,
20,503,,4.368734836578369
20,503,0.3263510465621948,
21,527,,4.347537040710449
21,527,0.31485289335250854,
