epoch,step,train_loss,val_loss
0,19,,0.3335617482662201
0,19,0.9578893780708313,
1,39,,0.3059767186641693
1,39,0.7938464879989624,
2,59,,0.2764206528663635
2,59,0.6864842772483826,
3,79,,0.2540752589702606
3,79,0.6386704444885254,
4,99,,0.2500958740711212
4,99,0.5821413397789001,
5,119,,0.25492092967033386
5,119,0.5743719339370728,
6,139,,0.23650437593460083
6,139,0.5584553480148315,
7,159,,0.23970144987106323
7,159,0.510941743850708,
8,179,,0.28902512788772583
8,179,0.5088608264923096,
9,199,,0.2664945721626282
9,199,0.49512144923210144,
10,219,,0.26980847120285034
10,219,0.48923251032829285,
11,239,,0.2977394461631775
11,239,0.4865965247154236,
12,259,,0.28395724296569824
12,259,0.4642225205898285,
13,279,,0.2497389018535614
13,279,0.4546988606452942,
