epoch,step,train_loss,val_loss
0,136,,0.7930510640144348
0,136,0.735873818397522,
1,273,,0.7313747406005859
1,273,0.6032787561416626,
2,410,,0.6287083625793457
2,410,0.4942561686038971,
3,547,,0.4286527931690216
3,547,0.4504062533378601,
4,684,,1.1351581811904907
4,684,0.4048228859901428,
5,821,,0.8136152029037476
5,821,0.3699987232685089,
6,958,,0.5289440155029297
6,958,0.38517728447914124,
7,1095,,1.1674884557724
7,1095,0.3444271683692932,
8,1232,,0.8447292447090149
8,1232,0.2919163405895233,
9,1369,,0.7389296889305115
9,1369,0.2778717279434204,
10,1506,,0.6569632887840271
10,1506,0.2681562006473541,
