epoch,step,train_loss,val_loss
0,19,,0.3521963953971863
0,19,0.9716697931289673,
1,39,,0.30720415711402893
1,39,0.9036621451377869,
2,59,,0.29073381423950195
2,59,0.8418446183204651,
3,79,,0.3131397068500519
3,79,0.8202031254768372,
4,99,,0.2750796675682068
4,99,0.7547385692596436,
5,119,,0.25108352303504944
5,119,0.6583980917930603,
6,139,,0.27026429772377014
6,139,0.7135422229766846,
7,159,,0.2337096780538559
7,159,0.5595385432243347,
8,179,,0.23870228230953217
8,179,0.5156170129776001,
9,199,,0.22687402367591858
9,199,0.534917414188385,
10,219,,0.25876864790916443
10,219,0.5830514430999756,
11,239,,0.2969580888748169
11,239,0.8441674709320068,
12,259,,0.25725334882736206
12,259,0.779308021068573,
13,279,,0.23655155301094055
13,279,0.5312709212303162,
14,299,,0.22836405038833618
14,299,0.5456067323684692,
15,319,,0.22593803703784943
15,319,0.5105070471763611,
16,339,,0.22393132746219635
16,339,0.5104066729545593,
17,359,,0.21799515187740326
17,359,0.4480060636997223,
18,379,,0.21930921077728271
18,379,0.4311852753162384,
19,399,,0.22256635129451752
19,399,0.413813978433609,
20,419,,0.22804848849773407
20,419,0.4138442873954773,
21,439,,0.2250220775604248
21,439,0.4183453917503357,
22,459,,0.23231828212738037
22,459,0.3995882272720337,
23,479,,0.2292613387107849
23,479,0.398671954870224,
24,499,,0.24152544140815735
24,499,0.39235466718673706,
