epoch,step,train_loss,val_loss
0,55,,0.22566422820091248
0,55,0.74479079246521,
1,111,,0.1914679855108261
1,111,0.5895540714263916,
2,167,,0.24518507719039917
2,167,0.5270351767539978,
3,223,,0.3841673731803894
3,223,0.4829308092594147,
4,279,,0.2973959445953369
4,279,0.42390772700309753,
5,335,,0.2207164317369461
5,335,0.39538031816482544,
6,391,,0.31641435623168945
6,391,0.3337846100330353,
7,447,,0.45637544989585876
7,447,0.3009359836578369,
8,503,,0.5226723551750183
8,503,0.27928152680397034,
