target_variable,site_id,season,horizon_bin,n,rmse,mae,rmse_skill_vs_persistence,mae_skill_vs_persistence
discharge,3,winter,0-6,1494,5.813996541007859,3.531280818872822,0.27348425486610906,0.17180079565365858
discharge,3,winter,6-12,1494,6.806090622352186,4.5026866958802,0.2658783051521154,0.21561066294989706
discharge,3,winter,12-18,1494,7.4406289019904905,4.640938545645799,0.2592365706505303,0.24074814782432852
discharge,3,winter,18-24,1494,7.205798765096673,4.397808028990964,0.18849823229159746,0.11955807982824151
discharge,3,spring,0-6,13110,17.432090560552506,9.289238101775913,0.08847189402468125,0.06840206208192512
discharge,3,spring,6-12,13110,23.083187221965712,14.889546956077593,0.14565455730528576,0.13990101656193754
discharge,3,spring,12-18,13110,29.374355443181134,20.07882814560111,0.035137946716470636,0.024702001730372736
discharge,3,spring,18-24,13110,34.05071873659409,23.605834668215497,-0.07363655974195882,-0.10586191517410537
discharge,3,summer,0-6,5442,13.864477715494642,5.512170954952779,0.017262721465785447,0.031604541576215506
discharge,3,summer,6-12,5442,15.289053300475326,7.674844094822837,0.06765024977647971,0.15738874443584594
discharge,3,summer,12-18,5442,17.1973384990887,9.224553597144281,0.07610206034893774,0.20405896438906812
discharge,3,summer,18-24,5442,19.025670510801177,10.666292585199784,0.08515555610101988,0.21879342259552714
discharge,3,fall,0-6,2136,4.00886060291072,2.1539363218157477,0.1548993909356402,0.04891962584516496
discharge,3,fall,6-12,2136,4.579871764551085,2.736131325196684,0.20996882959169727,0.1485230289141587
discharge,3,fall,12-18,2136,4.985932226961794,3.0704191936535783,0.1883352093648376,0.1126091122352264
discharge,3,fall,18-24,2136,5.266832421969991,3.2678656667359314,0.184502568441418,0.06571420678252993
discharge,4,winter,0-6,1974,7.563566156359014,4.794151097445503,0.05904016639482523,0.03654087438337239
discharge,4,winter,6-12,1974,13.137257886654963,8.621671288209122,0.09139322092616375,0.08258283470826977
discharge,4,winter,12-18,1974,16.61305331220927,10.896277886635144,0.04757769111066601,0.03800923634409403
discharge,4,winter,18-24,1974,19.219495692632695,11.36853938696957,0.012410705978860515,-0.007114635108826262
discharge,4,spring,0-6,13110,14.050656828152205,9.219932579430436,0.04434240803333178,-0.0008075836491872046
discharge,4,spring,6-12,13110,24.790341907800148,17.762557721519908,0.03966056966896625,0.02779463217492739
discharge,4,spring,12-18,13110,30.24695534459336,22.13730949209811,0.01273033694817094,-0.004609003313550186
discharge,4,spring,18-24,13110,33.78250988004785,24.870840805600746,-0.04354971472601221,-0.07942524473509072
discharge,4,summer,0-6,4872,8.60281922697985,4.849445665704793,0.05598888637516097,0.002156748577927581
discharge,4,summer,6-12,4872,10.588170508081392,6.940034678906251,0.16790409045459165,0.18148541769287607
discharge,4,summer,12-18,4872,12.100963094148595,8.451206370038156,0.21954586911284313,0.24908506106563855
discharge,4,summer,18-24,4872,14.067453573541275,9.961080393278344,0.2087772407417483,0.2469625586376828
discharge,4,fall,0-6,1932,5.672081626048705,2.8824409831384696,0.012091120278108991,0.002497457878377074
discharge,4,fall,6-12,1932,9.026339791318073,5.3256182157228205,0.030507679928790776,0.012038407303238019
discharge,4,fall,12-18,1932,10.807490918432997,6.751574966478052,0.05457354081434784,0.011348051714194396
discharge,4,fall,18-24,1932,12.365082967371242,7.661967446344979,0.07020072188058857,0.017491479753095507
air_temperature,1,winter,0-6,2160,2.253762242755851,1.644669213732144,0.4761868313420755,0.46027870627063494
air_temperature,1,winter,6-12,2160,3.2651471349715013,2.5001101501206264,0.5017814867614729,0.4954527892119722
air_temperature,1,winter,12-18,2160,3.6048712980759317,2.8140130708155793,0.4636932551721118,0.47999153069959
air_temperature,1,winter,18-24,2160,3.7418934390131335,2.9314190224380043,0.14816426362694368,0.13787440187575184
air_temperature,1,spring,0-6,13110,2.2951955347372417,1.6109290542972183,0.5494821795548663,0.5478677147634745
air_temperature,1,spring,6-12,13110,3.5071825700119015,2.6844911246047256,0.6163756514830663,0.6490107025486662
air_temperature,1,spring,12-18,13110,3.8284403661254207,2.9536268316503063,0.5714760190292623,0.6040631957443523
air_temperature,1,spring,18-24,13110,3.923239836345358,3.039717427772256,0.29257225221429883,0.2841714554885614
air_temperature,1,summer,0-6,5808,1.8773257218695036,1.3206104786486748,0.726200662430931,0.7399545735456099
air_temperature,1,summer,6-12,5808,2.6868454973197258,2.0048959832818096,0.7913235371332454,0.8244805123542753
air_temperature,1,summer,12-18,5808,2.797437475468799,2.1026023486090346,0.7761048928801866,0.8120117453514616
air_temperature,1,summer,18-24,5808,2.8296859622996204,2.1172033255924947,0.5687367632807874,0.5657862584483613
air_temperature,1,fall,0-6,2184,1.9328843062577536,1.3850098844465584,0.6198991517477226,0.6192127982487239
air_temperature,1,fall,6-12,2184,2.7785348149988014,2.0697112631101984,0.6958663728322456,0.721112341093382
air_temperature,1,fall,12-18,2184,3.030934334967096,2.269344370032344,0.6699643545869443,0.714335590216849
air_temperature,1,fall,18-24,2184,3.2563270339144643,2.500736860293471,0.4114737098339314,0.40686310403855164
air_temperature,2,winter,0-6,2160,10.188626263519142,5.131437732424173,0.22099517348135533,0.2741527327148372
air_temperature,2,winter,6-12,2160,10.471369696004974,6.277899803438966,0.33650285604465036,0.37250944249415374
air_temperature,2,winter,12-18,2160,10.766677148417017,6.560274600294522,0.32402467437270754,0.3850188045012112
air_temperature,2,winter,18-24,2160,10.705225316060556,6.250969692222619,0.1196396865296292,0.1283569329012323
air_temperature,2,spring,0-6,13110,11.335458039839619,6.893117253603393,0.2833957380692136,0.28571858823729657
air_temperature,2,spring,6-12,13110,11.94965316292849,8.098596432967598,0.4268430313873305,0.4894644936919297
air_temperature,2,spring,12-18,13110,12.133336888413421,8.15719982938007,0.4080450537124398,0.47470888170517167
air_temperature,2,spring,18-24,13110,12.408604962161297,7.955126811362217,0.20321297119067505,0.21650035477056462
air_temperature,2,summer,0-6,5808,8.782635011644453,5.8059834536606285,0.26348879673040315,0.3126036709966058
air_temperature,2,summer,6-12,5808,9.025194008703771,6.30879469302075,0.41408817028021205,0.47769346837502646
air_temperature,2,summer,12-18,5808,8.863664854732066,6.31061943799011,0.4013330392972285,0.4636364849883462
air_temperature,2,summer,18-24,5808,8.592095976709755,5.970467921541414,0.2652770940120295,0.29553030929053015
air_temperature,2,fall,0-6,2184,9.644115075427028,6.11419040860946,0.3203512499095472,0.33366371155321795
air_temperature,2,fall,6-12,2184,10.00730163030796,6.630484377039979,0.4585700848450517,0.5145487460630846
air_temperature,2,fall,12-18,2184,10.149416634552255,6.871098275222192,0.45094927251990846,0.5054481146108296
air_temperature,2,fall,18-24,2184,10.156981128520071,6.732522038897267,0.3081250727561834,0.30726741782379363
